god_name_EN
Achilles
Agni
Ah Muzen Cab
Ah Puch
Amaterasu
Anhur
Anubis
Ao Kuang
Aphrodite
Apollo
Arachne
Ares
Artemis
Artio
Athena
Atlas
Awilix
Baba Yaga
Bacchus
Bakasura
Bake Kujira
Baron Samedi
Bastet
Bellona
Cabrakan
Camazotz
Cerberus
Cernunnos
Chaac
Chang'e
Charon
Charybdis
Chiron
Chronos
Cliodhna
Cthulhu
Cu Chulainn
Cupid
Da Ji
Danzaburou
Discordia
Erlang Shen
Fafnir
Morgan Le Fay
Fenrir
Freya
Ganesha
Geb
Gilgamesh
Guan Yu
Hachiman
Hades
He Bo
Heimdallr
Hel
Hera
Hercules
Horus
Hou Yi
Hun Batz
Ishtar
Eset
Ix Chel
Izanami
Janus
Jing Wei
Jormungandr
Kali
Khepri
Kukulkan
Kumbhakarna
Kuzenbo
Lancelot
Loki
Maman Brigitte
Martichoras
Maui
Medusa
Mercury
Merlin
The Morrigan
Mulan
Ne Zha
Neith
Nemesis
Nike
Nut
Nox
Nu Wa
Odin
Olorun
Osiris
Pele
Persephone
Poseidon
Ra
Raijin
Rama
Ratatoskr
Ravana
King Arthur
Scylla
Serqet
Set
Shiva
Skadi
Sobek
Sol
Sun Wukong
Surtr
Susano
Sylvanus
Chernobog
Terra
Thanatos
Thor
Thoth
Tiamat
Tsukuyomi
Tyr
Ullr
Vamana
Vulcan
Xbalanque
Xing Tian
Yemoja
Ymir
Yu Huang
Zeus
Zhong Kui
